name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь - универсал,60000.0,100000.0,RUR,Челябинск,2022-12-16T06:50:20+0300
Оператор станка резки пенопласта,35000.0,40000.0,RUR,Бийск,2022-12-16T06:56:33+0300
Системный администратор Linux,60000.0,,RUR,Екатеринбург,2022-12-16T06:09:04+0300
Специалист по поддержке аптечных сетей,,,,Москва,2022-12-16T06:55:01+0300
Токарь,50000.0,70000.0,RUR,Омск,2022-12-16T05:39:07+0300
Программист 1С ERP в производственную компанию федерального уровня,,270000.0,RUR,Москва,2022-12-16T06:28:59+0300
Ведущий инженер-программист 1С,50000.0,50000.0,RUR,Орск,2022-12-16T06:38:49+0300
Инженер по безопасности дорожного движения,,,,Зея,2022-12-16T05:18:34+0300
Специалист по обслуживанию сети передачи данных,27000.0,35000.0,RUR,Красноярск,2022-12-16T06:09:23+0300
Ведущий программист 1С,130000.0,,RUR,Красноярск,2022-12-16T05:34:43+0300
Наладчик-монтажник испытательного оборудования,35000.0,,RUR,Новосибирск,2022-12-16T05:05:08+0300
Сервисный инженер / инженер-монтажник,50000.0,100000.0,RUR,Кемерово,2022-12-16T05:47:17+0300
Аналитик 1С: ЗУП в нефтяную компанию,,180000.0,RUR,Москва,2022-12-16T06:29:11+0300
Столяр-станочник,,70000.0,RUR,Ангарск,2022-12-16T05:53:19+0300
Механик по ремонту автотранспорта,140000.0,140000.0,RUR,Красноярск,2022-12-16T05:16:19+0300
Lead Project Manager,,,,Новосибирск,2022-12-16T04:55:11+0300
Аналитик бизнес-процессов,28500.0,35000.0,RUR,Новосибирск,2022-12-16T05:10:56+0300
Инженер отдела информационных технологий,,,,Томск,2022-12-16T05:57:45+0300
Наладчик станков с ЧПУ,50000.0,,RUR,Барнаул,2022-12-16T05:36:03+0300
Менеджер по продажам/рефмеханик,65000.0,,RUR,Владивосток,2022-12-16T04:13:23+0300
Системный администратор,50000.0,,RUR,Красноярск,2022-12-16T06:36:49+0300
Junior full-stack web developer (Bitrix/Bitrix24),50000.0,100000.0,RUR,Чебоксары,2022-12-16T06:13:50+0300
Специалист службы технической поддержки,40000.0,70000.0,RUR,Красноярск,2022-12-16T06:09:28+0300
Токарь,50000.0,,RUR,Усолье-Сибирское,2022-12-16T06:41:02+0300
Токарь 4 раряда,34300.0,34300.0,RUR,Березовский (Кемеровская область),2022-12-16T04:33:18+0300
Инженер по безопасности дорожного движения,,,,Завитинск,2022-12-16T05:18:34+0300
Инженер - программист,,,,Новокузнецк,2022-12-16T04:41:59+0300
Программист 1C,35000.0,,RUR,Кемерово,2022-12-16T05:17:24+0300
Ведущий cистемный администратор,80000.0,,RUR,Екатеринбург,2022-12-16T06:51:23+0300
Техник связи,50000.0,,RUR,Красноярск,2022-12-16T05:30:36+0300
Сервисный инженер,40000.0,60000.0,RUR,Новокузнецк,2022-12-16T06:27:38+0300
Junior full-stack web developer (Bitrix/Bitrix24),75000.0,100000.0,RUR,Красноярск,2022-12-16T06:13:50+0300
Маркетолог-аналитик,80000.0,,RUR,Пермь,2022-12-16T06:47:31+0300
Наладчик ТПА,50000.0,,RUR,Новосибирск,2022-12-16T06:30:03+0300
Системный администратор,40000.0,40000.0,RUR,Новосибирск,2022-12-16T05:12:53+0300
Системный администратор,60000.0,70000.0,RUR,Новосибирск,2022-12-16T05:31:47+0300
DevOps-инженер,130000.0,,RUR,Барнаул,2022-12-16T06:50:39+0300
Аналитик 1С ERP в нефтяную компанию,,190000.0,RUR,Москва,2022-12-16T06:28:56+0300
Инженер по безопасности дорожного движения,,,,Белогорск,2022-12-16T05:18:34+0300
Менеджер проектов по крипто тематике,20000.0,50000.0,RUR,Москва,2022-12-16T05:31:11+0300
Токарь-расточник,,,,Саратов,2022-12-16T06:38:32+0300
Веб разработчик Php fullstack developer,,,,Красноярск,2022-12-16T05:19:10+0300
Java Developer Backend,,,,Алматы,2022-12-16T06:09:26+0300
Инженер-программист 1С,120000.0,,RUR,Новокузнецк,2022-12-16T04:30:03+0300
Инженер по ремонту,25000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-16T06:26:34+0300
